ip,channel,strength,ssid,time,lat,lon
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710604,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710604,n/a,n/a
C8:84:A1:7C:DA:A6,1,-78,_Free_Wifi_Berlin,1668710604,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710604,n/a,n/a
5C:E1:76:66:02:E1,1,-83, ,1668710604,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710604,n/a,n/a
5C:E1:76:66:02:E6,1,-84,_Free_Wifi_Berlin,1668710604,n/a,n/a
CC:DB:93:1A:35:82,6,-84,eduroam,1668710604,n/a,n/a
B8:D7:AF:19:A9:9B,1,-88,sandlab_11mc_test,1668710607,n/a,n/a
24:F5:A2:2D:EB:91,1,-50,LAA-Coexistence Experiment,1668710607,n/a,n/a
64:66:B3:6F:90:2B,11,-86,TKN-VRULab,1668710607,n/a,n/a
C8:84:A1:93:04:42,11,-66,eduroam,1668710607,n/a,n/a
C8:84:A1:7D:60:A2,11,-70,eduroam,1668710607,n/a,n/a
C8:84:A1:93:04:43,11,-66,TUB-Guest,1668710607,n/a,n/a
64:70:02:3E:AA:D1,13,-63,Schwammerl2,1668710607,n/a,n/a
C8:84:A1:7D:60:A3,11,-70,TUB-Guest,1668710607,n/a,n/a
C8:84:A1:7D:60:A6,11,-70,_Free_Wifi_Berlin,1668710607,n/a,n/a
C8:84:A1:7D:60:A1,11,-72, ,1668710607,n/a,n/a
CC:DB:93:1A:35:83,6,-85,TUB-Guest,1668710607,n/a,n/a
C8:84:A1:93:04:46,11,-65,_Free_Wifi_Berlin,1668710607,n/a,n/a
CC:DB:93:1A:35:86,6,-84,_Free_Wifi_Berlin,1668710607,n/a,n/a
C8:84:A1:93:04:41,11,-67, ,1668710607,n/a,n/a
CC:DB:93:1A:35:81,6,-83, ,1668710607,n/a,n/a
C8:84:A1:7C:DA:A1,1,-73, ,1668710607,n/a,n/a
C8:84:A1:7C:DA:A2,1,-73,eduroam,1668710607,n/a,n/a
C8:84:A1:7C:DA:A3,1,-73,TUB-Guest,1668710607,n/a,n/a
C8:84:A1:7C:DA:A6,1,-78,_Free_Wifi_Berlin,1668710607,n/a,n/a
92:32:4B:2D:19:BA,6,-90,DIRECT-ba-HP M402 LaserJet,1668710607,n/a,n/a
5C:E1:76:66:02:E1,1,-83, ,1668710607,n/a,n/a
5C:E1:76:66:02:E3,1,-86,TUB-Guest,1668710607,n/a,n/a
5C:E1:76:66:02:E6,1,-84,_Free_Wifi_Berlin,1668710607,n/a,n/a
CC:DB:93:1A:35:82,6,-85,eduroam,1668710607,n/a,n/a
B8:D7:AF:19:A9:9B,1,-89,sandlab_11mc_test,1668710610,n/a,n/a
